INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                         MATCH
389-ds-base-1.3.7.1-2.fc27.src                               
├─perl-generators                                            perl-generators-1.10-5.fc27.noarch
├─python3-devel                                              python3-devel-3.6.2-6.fc27.s390x
├─libtool                                                    libtool-2.4.6-20.fc27.s390x
├─python3-setuptools                                         python3-setuptools-36.2.0-3.fc27.noarch
├─autoconf                                                   autoconf-2.69-24.fc26.noarch
├─automake                                                   automake-1.15-9.fc26.noarch
├─zlib-devel                                                 zlib-devel-1.2.11-4.fc27.s390x
├─doxygen                                                    doxygen-1:1.8.13-10.fc27.s390x
├─openssl-devel                                              openssl-devel-1:1.1.0f-9.fc27.s390x
├─gcc-c++                                                    gcc-c++-7.1.1-7.fc27.1.s390x
├─systemd-units                                              systemd-234-5.fc27.s390x
├─bzip2-devel                                                bzip2-devel-1.0.6-24.fc27.s390x
├─pcre-devel                                                 pcre-devel-8.41-1.fc27.2.s390x
├─pam-devel                                                  pam-devel-1.3.0-5.fc27.s390x
├─systemd-devel                                              systemd-devel-234-5.fc27.s390x
├─openldap-devel                                             openldap-devel-2.4.45-3.fc27.s390x
├─libicu-devel                                               libicu-devel-57.1-4.fc26.s390x
├─nss-devel                                                  nss-devel-3.32.0-2.fc27.s390x
├─cyrus-sasl-devel                                           cyrus-sasl-devel-2.1.26-34.fc27.s390x
├─libdb-devel                                                libdb-devel-5.3.28-26.fc27.s390x
├─libevent-devel                                             libevent-devel-2.0.22-3.fc27.s390x
├─nspr-devel                                                 nspr-devel-4.16.0-1.fc27.s390x
├─net-snmp-devel                                             net-snmp-devel-1:5.7.3-20.fc27.s390x
├─lm_sensors-devel                                           lm_sensors-devel-3.4.0-6.fc26.s390x
├─libtalloc-devel                                            libtalloc-devel-2.1.9-2.fc27.s390x
├─libcmocka-devel                                            libcmocka-devel-1.1.1-5.fc27.s390x
├─gperftools-devel                                           gperftools-devel-2.6.1-1.fc27.s390x
├─icu                                                        icu-57.1-4.fc26.s390x
├─libtevent-devel                                            libtevent-devel-0.9.32-1.fc27.s390x
├─tcp_wrappers                                               tcp_wrappers-7.6-87.fc27.s390x
├─gperftools-libs                                            gperftools-libs-2.6.1-1.fc27.s390x
└─svrcore-devel >= 4.1.3                                     svrcore-devel-4.1.3-1.fc27.s390x
bind-32:9.11.1-4.P3.fc27.src                                 
├─python3-devel                                              python3-devel-3.6.2-6.fc27.s390x
├─libtool                                                    libtool-2.4.6-20.fc27.s390x
├─autoconf                                                   autoconf-2.69-24.fc26.noarch
├─pkgconfig                                                  pkgconf-pkg-config-1.3.8-1.fc27.s390x
├─systemd                                                    systemd-234-5.fc27.s390x
├─openssl-devel                                              openssl-devel-1:1.1.0f-9.fc27.s390x
├─libxml2-devel                                              libxml2-devel-2.9.4-4.fc27.s390x
├─sqlite-devel                                               sqlite-devel-3.20.0-1.fc27.s390x
├─libxslt                                                    libxslt-1.1.29-2.fc27.s390x
├─docbook-style-xsl                                          docbook-style-xsl-1.79.2-4.fc26.noarch
├─openldap-devel                                             openldap-devel-2.4.45-3.fc27.s390x
├─postgresql-devel                                           postgresql-devel-9.6.3-6.fc27.s390x
├─krb5-devel                                                 krb5-devel-1.15.1-21.fc27.s390x
├─libcap-devel                                               libcap-devel-2.25-7.fc27.s390x
├─libdb-devel                                                libdb-devel-5.3.28-26.fc27.s390x
├─libidn-devel                                               libidn-devel-1.33-4.fc27.s390x
├─GeoIP-devel                                                GeoIP-devel-1.6.11-1.fc27.s390x
├─mariadb-devel                                              mariadb-devel-3:10.2.7-2.fc27.s390x
└─python3-ply                                                python3-ply-3.9-3.fc27.noarch
GeoIP-1.6.11-1.fc27.src                                      
├─make                                                       make-1:4.2.1-4.fc27.s390x
├─coreutils                                                  coreutils-8.27-14.fc27.s390x
├─zlib-devel                                                 zlib-devel-1.2.11-4.fc27.s390x
├─gcc                                                        gcc-7.1.1-7.fc27.1.s390x
└─sed                                                        sed-4.4-3.fc27.s390x
GeoIP-GeoLite-data-2017.06-1.fc27.src                        
perl-Mozilla-LDAP-1.5.3-22.fc27.src                          
├─perl-generators                                            perl-generators-1.10-5.fc27.noarch
├─perl(ExtUtils::MakeMaker)                                  perl-ExtUtils-MakeMaker-1:7.30-1.fc27.noarch
├─perl-devel                                                 perl-devel-4:5.26.0-398.fc27.s390x
├─nss-devel                                                  nss-devel-3.32.0-2.fc27.s390x
├─nspr-devel                                                 nspr-devel-4.16.0-1.fc27.s390x
├─perl-interpreter >= 2:5.8.0                                perl-interpreter-4:5.26.0-398.fc27.s390x
└─openldap-devel >= 2.4.22                                   openldap-devel-2.4.45-3.fc27.s390x
perl-NetAddr-IP-4.079-4.fc27.src                             
├─perl-generators                                            perl-generators-1.10-5.fc27.noarch
├─perl(Test::More)                                           perl-Test-Simple-1:1.302086-1.fc27.noarch
├─perl(ExtUtils::MakeMaker)                                  perl-ExtUtils-MakeMaker-1:7.30-1.fc27.noarch
